lsoa_code,lsoa_name,ward_code,ward_name
E01002821,Kensington and Chelsea 014A,E05009389,Brompton & Hans Town
E01002825,Kensington and Chelsea 008B,E05009390,Campden
E01002828,Kensington and Chelsea 008E,E05009390,Campden
E01002827,Kensington and Chelsea 008D,E05009390,Campden
E01002865,Kensington and Chelsea 011E,E05009390,Campden
E01002826,Kensington and Chelsea 008C,E05009390,Campden
E01002824,Kensington and Chelsea 008A,E05009390,Campden
E01002842,Kensington and Chelsea 021C,E05009391,Chelsea Riverside
E01002845,Kensington and Chelsea 019B,E05009391,Chelsea Riverside
E01002843,Kensington and Chelsea 021D,E05009391,Chelsea Riverside
E01002840,Kensington and Chelsea 021A,E05009391,Chelsea Riverside
E01002844,Kensington and Chelsea 019A,E05009391,Chelsea Riverside
E01002841,Kensington and Chelsea 021B,E05009391,Chelsea Riverside
E01002831,Kensington and Chelsea 004C,E05009392,Colville
E01002830,Kensington and Chelsea 004B,E05009392,Colville
E01002829,Kensington and Chelsea 004A,E05009392,Colville
E01002832,Kensington and Chelsea 004D,E05009392,Colville
E01002833,Kensington and Chelsea 007A,E05009392,Colville
E01002882,Kensington and Chelsea 006A,E05009392,Colville
E01035713,Kensington and Chelsea 016F,E05009393,Courtfield
E01002837,Kensington and Chelsea 016E,E05009393,Courtfield
E01002839,Kensington and Chelsea 013C,E05009393,Courtfield
E01002835,Kensington and Chelsea 016C,E05009393,Courtfield
E01002907,Kensington and Chelsea 002D,E05009394,Dalgarno
E01002905,Kensington and Chelsea 002B,E05009394,Dalgarno
E01002904,Kensington and Chelsea 002A,E05009394,Dalgarno
E01002908,Kensington and Chelsea 003D,E05009394,Dalgarno
E01002906,Kensington and Chelsea 002C,E05009394,Dalgarno
E01002847,Kensington and Chelsea 015B,E05009395,Earl's Court
E01002846,Kensington and Chelsea 017A,E05009395,Earl's Court
E01002851,Kensington and Chelsea 015D,E05009395,Earl's Court
E01002850,Kensington and Chelsea 013D,E05009395,Earl's Court
E01002848,Kensington and Chelsea 015C,E05009395,Earl's Court
E01002849,Kensington and Chelsea 017B,E05009395,Earl's Court
E01002834,Kensington and Chelsea 013B,E05009395,Earl's Court
E01002857,Kensington and Chelsea 001E,E05009396,Golborne
E01002854,Kensington and Chelsea 001C,E05009396,Golborne
E01002852,Kensington and Chelsea 001A,E05009396,Golborne
E01002855,Kensington and Chelsea 001D,E05009396,Golborne
E01002856,Kensington and Chelsea 004E,E05009396,Golborne
E01002853,Kensington and Chelsea 001B,E05009396,Golborne
E01002866,Kensington and Chelsea 009B,E05009397,Holland
E01002867,Kensington and Chelsea 009C,E05009397,Holland
E01002814,Kensington and Chelsea 015A,E05009397,Holland
E01002869,Kensington and Chelsea 009E,E05009397,Holland
E01002868,Kensington and Chelsea 009D,E05009397,Holland
E01002864,Kensington and Chelsea 009A,E05009397,Holland
E01002874,Kensington and Chelsea 007D,E05009398,Norland
E01002873,Kensington and Chelsea 007C,E05009398,Norland
E01002871,Kensington and Chelsea 007B,E05009398,Norland
E01002875,Kensington and Chelsea 007E,E05009398,Norland
E01002870,Kensington and Chelsea 005A,E05009399,Notting Dale
E01002877,Kensington and Chelsea 003B,E05009399,Notting Dale
E01002872,Kensington and Chelsea 005B,E05009399,Notting Dale
E01002880,Kensington and Chelsea 005D,E05009399,Notting Dale
E01002881,Kensington and Chelsea 005E,E05009399,Notting Dale
E01002879,Kensington and Chelsea 005C,E05009399,Notting Dale
E01002883,Kensington and Chelsea 006B,E05009400,Pembridge
E01002886,Kensington and Chelsea 006E,E05009400,Pembridge
E01002884,Kensington and Chelsea 006C,E05009400,Pembridge
E01002885,Kensington and Chelsea 006D,E05009400,Pembridge
E01002888,Kensington and Chelsea 013E,E05009401,Queen's Gate
E01002892,Kensington and Chelsea 010E,E05009401,Queen's Gate
E01002889,Kensington and Chelsea 010B,E05009401,Queen's Gate
E01002890,Kensington and Chelsea 010C,E05009401,Queen's Gate
E01002891,Kensington and Chelsea 010D,E05009401,Queen's Gate
E01002887,Kensington and Chelsea 010A,E05009401,Queen's Gate
E01035714,Kensington and Chelsea 020F,E05009402,Redcliffe
E01002898,Kensington and Chelsea 017E,E05009402,Redcliffe
E01002836,Kensington and Chelsea 016D,E05009402,Redcliffe
E01002894,Kensington and Chelsea 017D,E05009402,Redcliffe
E01002896,Kensington and Chelsea 020C,E05009402,Redcliffe
E01002893,Kensington and Chelsea 017C,E05009402,Redcliffe
E01002897,Kensington and Chelsea 020D,E05009402,Redcliffe
E01002899,Kensington and Chelsea 018A,E05009403,Royal Hospital
E01002859,Kensington and Chelsea 012C,E05009403,Royal Hospital
E01002902,Kensington and Chelsea 018D,E05009403,Royal Hospital
E01002903,Kensington and Chelsea 018E,E05009403,Royal Hospital
E01002901,Kensington and Chelsea 018C,E05009403,Royal Hospital
E01002861,Kensington and Chelsea 014D,E05009403,Royal Hospital
E01002900,Kensington and Chelsea 018B,E05009403,Royal Hospital
E01002876,Kensington and Chelsea 003A,E05009404,St. Helen's
E01002909,Kensington and Chelsea 003E,E05009404,St. Helen's
E01002878,Kensington and Chelsea 003C,E05009404,St. Helen's
E01002914,Kensington and Chelsea 019E,E05009405,Stanley
E01002912,Kensington and Chelsea 020E,E05009405,Stanley
E01002910,Kensington and Chelsea 019C,E05009405,Stanley
E01002823,Kensington and Chelsea 014B,E05009405,Stanley
E01002911,Kensington and Chelsea 019D,E05009405,Stanley
E01002913,Kensington and Chelsea 021E,E05009405,Stanley
E01002816,Kensington and Chelsea 011C,E05009388,Abingdon
E01002812,Kensington and Chelsea 013A,E05009388,Abingdon
E01002815,Kensington and Chelsea 011B,E05009388,Abingdon
E01002817,Kensington and Chelsea 011D,E05009388,Abingdon
E01002813,Kensington and Chelsea 011A,E05009388,Abingdon
E01002860,Kensington and Chelsea 012D,E05009389,Brompton & Hans Town
E01002818,Kensington and Chelsea 012A,E05009389,Brompton & Hans Town
E01002863,Kensington and Chelsea 012E,E05009389,Brompton & Hans Town
E01002819,Kensington and Chelsea 012B,E05009389,Brompton & Hans Town
E01002858,Kensington and Chelsea 014C,E05009389,Brompton & Hans Town
E01002862,Kensington and Chelsea 014E,E05009389,Brompton & Hans Town
