id,name,postcode,status,prescribing_setting
E85091,BRUNSWICK SURGERY,W5 1AQ,ACTIVE,RO76
E84646,THE STREATFIELD MEDICAL CENTRE,HA3 9BN,ACTIVE,RO76
E87772,GREAT CHAPEL STREET MEDICAL CENTRE,W1D 3HZ,ACTIVE,RO76
E85721,THE TOWN SURGERY,UB1 1PZ,ACTIVE,RO76
Y06487,BABYLON GP AT HAND BIRMINGHAM,B9 4EY,ACTIVE,RO76
E84678,PRESTON MEDICAL CENTRE,HA9 8JZ,ACTIVE,RO76
E84653,ZAIN MEDICAL CENTRE,HA8 0AD,ACTIVE,RO76
E86619,WALLASEY MEDICAL CENTRE,UB10 8SA,ACTIVE,RO76
E85658,HOLLY ROAD MEDICAL CENTRE,W4 1NU,ACTIVE,RO76
E85659,"DR RK KUKAR, PARKVIEW CTR FOR H&W",W12 7FG,ACTIVE,RO76
Y01090,SMS MEDICAL PRACTICE,HA0 4UZ,ACTIVE,RO76
E85649,FULHAM CROSS MEDICAL CENTRE,SW6 7PP,ACTIVE,RO76
E85718,HATTON MEDICAL PRACTICE,TW14 9PY,ACTIVE,RO76
E84699,KINGS EDGE MEDICAL CENTRE,NW9 0QP,ACTIVE,RO76
E84647,KENTON CLINIC,HA3 0UQ,ACTIVE,RO76
E85623,SOMERSET MEDICAL CENTRE,UB5 6WL,ACTIVE,RO76
E84638,ALPERTON MEDICAL CENTRE,HA0 4JB,ACTIVE,RO76
E84701,PEARL MEDICAL PRACTICE,HA0 4UZ,ACTIVE,RO76
E85071,CLIFFORD HOUSE MEDICAL CENTRE,TW13 5AD,ACTIVE,RO76
E87711,ROYAL HOSPITAL CHELSEA,SW3 4SR,ACTIVE,RO76
E87048,ROSARY GARDEN SURGERY,SW7 4NQ,ACTIVE,RO76
E87702,THE SURGERY,SW7 4QS,ACTIVE,RO76
E87648,MAYFAIR MEDICAL CENTRE,W1K 5LS,ACTIVE,RO76
E84063,LANCELOT MEDICAL CENTRE,HA0 2AL,ACTIVE,RO76
E85694,THE BOILEAU ROAD SURGERY,W5 3AJ,ACTIVE,RO76
E85726,MATTOCK LANE HEALTH CENTRE,W13 9NZ,ACTIVE,RO76
E86034,CHURCH ROAD SURGERY,UB8 3NA,ACTIVE,RO76
E84676,HEADSTONE LANE MEDICAL CENTRE,HA2 6LY,ACTIVE,RO76
E85090,HAMMOND ROAD SURGERY,UB2 4EH,ACTIVE,RO76
E85687,ACTON LANE MEDICAL CENTRE,W4 5DG,ACTIVE,RO76
E86620,WEST LONDON MEDICAL CENTRE,UB8 3NG,ACTIVE,RO76
E86615,ACREFIELD SURGERY,HA4 0QR,ACTIVE,RO76
E87755,QUEENS PARK HEALTH CENTRE,W10 4LD,ACTIVE,RO76
Y05080,FIRST CHOICE MEDICAL CARE,HA2 9LG,ACTIVE,RO76
E86024,KING EDWARDS MEDICAL CENTRE,HA4 7AE,ACTIVE,RO76
E85640,THE CHURCHFIELD ROAD SURGERY,W3 6DL,ACTIVE,RO76
E84078,KINGSBURY HEALTH AND WELLBEING,NW9 0EF,ACTIVE,RO76
Y00200,PORTOBELLO MEDICAL CENTRE,W11 2EH,ACTIVE,RO76
E85066,THE BEDFORD PARK SURGERY,W4 5LH,ACTIVE,RO76
E84704,ST. GEORGES MEDICAL CENTRE,NW2 6JH,ACTIVE,RO76
E87751,SRIKRISHNAMURTHY HARROW ROAD SURGERY,W10 4NJ,ACTIVE,RO76
E84656,ROUNDWOOD PARK MEDICAL CENTRE,NW10 3RY,ACTIVE,RO76
E84663,KENTON BRIDGE MEDICAL CENTRE - DR RAJA,HA3 0YX,ACTIVE,RO76
E87746,BROMPTON MEDICAL CENTRE,SW5 0EA,ACTIVE,RO76
E84083,LANFRANC MEDICAL CENTRE,HA1 3QE,ACTIVE,RO76
E86625,KINCORA DOCTORS SURGERY,UB3 3HG,ACTIVE,RO76
E85725,THE GROVE MEDICAL PRACTICE,UB5 4NY,ACTIVE,RO76
E84030,PRESTON HILL SURGERY,HA3 9SN,ACTIVE,RO76
E84620,PRESTON ROAD SURGERY,HA9 8LB,ACTIVE,RO76
E87742,GOLBORNE CANALSIDE HEALTH CENTRE,W10 5PE,ACTIVE,RO76
E84075,MOLLISON WAY SURGERY,HA8 5QL,ACTIVE,RO76
E85074,WEST KENSINGTON GP SURGERY,W14 0LJ,ACTIVE,RO76
E85112,ELMTREES SURGERY,UB6 0PA,ACTIVE,RO76
Y01221,SOMERSET FHP O,UB1 2TU,ACTIVE,RO76
E84049,BRAMPTON HEALTH CENTRE,NW9 9BY,ACTIVE,RO76
E86605,LADYGATE LANE MEDICAL PRACTICE,HA4 7QU,ACTIVE,RO76
E85103,LADY MARGARET ROAD MEDICAL CENTRE,UB1 2PH,ACTIVE,RO76
E85643,MEADOW VIEW,UB5 4LZ,ACTIVE,RO76
E85083,DR SIVANESAN & PARTNER,UB1 2TJ,ACTIVE,RO76
E86609,NORTH HYDE ROAD SURGERY,UB3 4NS,ACTIVE,RO76
E86612,SHAKESPEARE HEALTH CENTRE,UB3 1NY,ACTIVE,RO76
E87754,WELLINGTON HEALTH CENTRE,NW8 9SP,ACTIVE,RO76
E87069,SOHO CENTRE FOR HEALTH AND CARE,W1D 3QS,ACTIVE,RO76
E86629,DR MLR SIDDIQUI'S PRACTICE,HA4 6TA,ACTIVE,RO76
E87070,CRAWFORD STREET SURGERY,W1H 2HJ,ACTIVE,RO76
E85023,CHEPSTOW GARDENS MEDICAL CENTRE,UB1 2RL,ACTIVE,RO76
E85743,ST. GEORGES MEDICAL CTR.,UB1 2RX,ACTIVE,RO76
E87750,EARLS COURT SURGERY,SW5 9JA,ACTIVE,RO76
E84684,THE TUDOR HOUSE MEDICAL CENTRE,HA9 9DS,ACTIVE,RO76
E84011,ST ANDREWS MEDICAL CENTRE,NW10 9AR,ACTIVE,RO76
E87722,LANCASTER GATE MEDICAL CENTRE,W2 3ET,ACTIVE,RO76
E87663,THIRD FLOOR LANARK ROAD MEDICAL CENTRE,W9 1NZ,ACTIVE,RO76
E87714,SOHO SQUARE GENERAL PRACTICE,W1D 3HZ,ACTIVE,RO76
E84680,HEADSTONE ROAD SURGERY,HA1 1PG,ACTIVE,RO76
E85109,THE ACTON HEALTH CENTRE,W3 8QE,ACTIVE,RO76
E85005,THE WESTWAY SURGERY,W12 0PT,ACTIVE,RO76
E84617,THE CIVIC MEDICAL CENTRE,HA1 1SE,ACTIVE,RO76
E84070,PINNER VIEW MEDICAL CENTRE,HA1 4QG,ACTIVE,RO76
E87065,THE NOTTING HILL MEDICAL CENTRE,W11 2EH,ACTIVE,RO76
E84635,THE SURGERY,HA9 6QL,ACTIVE,RO76
E87741,WOODFIELD ROAD MEDICAL CENTRE,W9 3XZ,ACTIVE,RO76
Y00507,ST. QUINTIN HEALTH CENTRE,W10 6NX,ACTIVE,RO76
E85041,HANWELL HEALTH CENTRE (NAISH),W7 1DR,ACTIVE,RO76
E87021,SHIRLAND MEDICAL,W10 4LD,ACTIVE,RO76
E85077,SHEPHERDS BUSH MEDICAL CENTRE,W12 7LS,ACTIVE,RO76
E85098,ISLIP MANOR MEDICAL CENTRE,UB5 5RG,ACTIVE,RO76
E87677,IMPERIAL COLLEGE HEALTH CENTRE,SW7 1LY,ACTIVE,RO76
E84053,HATCH END MEDICAL CENTRE,HA5 4RD,ACTIVE,RO76
E84626,THE SUNFLOWER MEDICAL CENTRE,HA0 4UZ,ACTIVE,RO76
E84067,CHURCH LANE SURGERY,NW9 8LU,ACTIVE,RO76
E85683,GLEBE STREET SURGERY,W4 2BD,ACTIVE,RO76
E84040,THE PINNER ROAD SURGERY,HA1 4JS,ACTIVE,RO76
E85635,THE VALE SURGERY,W3 7RG,ACTIVE,RO76
E85746,GROVE PARK TERRACE SURGERY,W4 3JL,ACTIVE,RO76
E85656,SUNRISE MEDICAL CENTRE,UB1 1HS,ACTIVE,RO76
E87043,EMPEROR'S GATE SURGERY,SW7 4HJ,ACTIVE,RO76
E84658,ASPRI MEDICAL CENTRE,HA3 5LE,ACTIVE,RO76
E85748,"THE MEDICAL CENTRE, DR KUKAR",W12 0NF,ACTIVE,RO76
E87047,EARLS COURT MEDICAL CENTRE,SW5 9AD,ACTIVE,RO76
E84048,THE FRYENT WAY SURGERY,NW9 9SB,ACTIVE,RO76
E86038,GLENDALE MEDICAL CENTRE,UB3 5DA,ACTIVE,RO76
E86610,WILLOW TREE SURGERY,UB4 9BG,ACTIVE,RO76
E85013,WESTSEVEN GP,W7 1DR,ACTIVE,RO76
E86626,QUEENS WALK MEDICAL CENTRE,HA4 0NT,ACTIVE,RO76
E84637,HILLTOP MEDICAL PRACTICE,NW10 8RY,ACTIVE,RO76
E86011,OXFORD DRIVE MEDICAL CENTRE,HA4 9EY,ACTIVE,RO76
E85130,CHISWICK FAMILY PRACTICE,W3 8TF,ACTIVE,RO76
E85111,PERIVALE MEDICAL CLINIC,UB6 8HX,ACTIVE,RO76
E87665,THE CHELSEA PRACTICE,SW3 5DD,ACTIVE,RO76
E87745,CAVENDISH HEALTH CENTRE,NW1 5JD,ACTIVE,RO76
Y02692,THE WEMBLEY PRACTICE,HA0 4UZ,ACTIVE,RO76
E85633,THE SOUTHALL MEDICAL CTR.,UB1 2PT,ACTIVE,RO76
E85038,PALACE SURGERY,SW6 6JD,ACTIVE,RO76
E84003,PREMIER MEDICAL CENTRE,HA0 4UZ,ACTIVE,RO76
E87737,MARYLEBONE HEALTH CENTRE,NW1 5LT,ACTIVE,RO76
E87010,MAIDA VALE MEDICAL CENTRE,W9 1HT,ACTIVE,RO76
E85115,PENTELOW PRACTICE,TW14 9EF,ACTIVE,RO76
E86640,SOUTHCOTE CLINIC,HA4 7LJ,ACTIVE,RO76
E85062,HIYOS,TW3 1NL,ACTIVE,RO76
E85123,THE CORFTON ROAD SURGERY,W13 8AG,ACTIVE,RO76
Y02342,FEATHERSTONE ROAD HEALTH CENTRE,UB2 5BQ,ACTIVE,RO76
E85045,TWICKENHAM PARK MEDICAL CENTRE,TW13 6HD,ACTIVE,RO76
E86041,ACRE SURGERY,HA6 1TQ,ACTIVE,RO76
E84017,SUDBURY & ALPERTON MEDICAL CENTRE,HA0 1EZ,ACTIVE,RO76
E86022,THE ABBOTSBURY PRACTICE,HA5 1TG,ACTIVE,RO76
E86637,HEATHROW MEDICAL CENTRE,UB3 5AB,ACTIVE,RO76
E84674,CHICHELE ROAD SURGERY,NW2 3AN,ACTIVE,RO76
E86014,CEDARS MEDICAL CENTRE,HA4 9LZ,ACTIVE,RO76
E87005,BELGRAVIA SURGERY,SW1W 9PY,ACTIVE,RO76
E84086,WALM LANE SURGERY,NW2 4RT,ACTIVE,RO76
E85015,HOUNSLOW MEDICAL CENTRE,TW3 3ET,ACTIVE,RO76
E84002,FORTY WILLOWS SURGERY,HA9 9HA,ACTIVE,RO76
E85021,YEADING MEDICAL CENTRE,UB5 6LD,ACTIVE,RO76
E85006,WATERSIDE MEDICAL CENTRE,UB2 4XQ,ACTIVE,RO76
E85052,CRANFORD MEDICAL CENTRE,TW5 9RG,ACTIVE,RO76
E84062,THE SHAFTESBURY MEDICAL CENTRE,HA2 0AH,ACTIVE,RO76
E87007,WESTBOURNE GROVE MEDICAL CENTRE,W11 2SE,ACTIVE,RO76
E84018,STREATFIELD HEALTH CENTRE,HA3 9BP,ACTIVE,RO76
E85682,DORMERS WELLS MEDICAL CENTRE,UB1 2LU,ACTIVE,RO76
E85713,HOUNSLOW FAMILY PRACTICE,TW3 4JX,ACTIVE,RO76
E85750,SPRING GROVE MEDICAL PRACTICE,TW7 4HG,ACTIVE,RO76
E85708,GILL MEDICAL PRACTICE,TW14 0AB,ACTIVE,RO76
E85734,QUEENS PARK MEDICAL PRACTICE,TW13 4GU,ACTIVE,RO76
E87006,LITTLE VENICE MEDICAL CENTRE,W2 1ND,ACTIVE,RO76
E85075,GP SURGERY @ ACTON GARDENS,W3 8TF,ACTIVE,RO76
E87715,SCARSDALE MEDICAL CENTRE,W8 5SX,ACTIVE,RO76
E87026,MEANWHILE GARDEN MEDICAL CENTRE,W10 5NT,ACTIVE,RO76
E85046,EASTMEAD AVENUE SURGERY,UB6 9RB,ACTIVE,RO76
E85129,THE MANSELL ROAD PRACTICE,UB6 9EN,ACTIVE,RO76
E84059,THE ALLENDALE ROAD SURGERY,UB6 0RA,ACTIVE,RO76
E84033,CHALKHILL FAMILY PRACTICE,HA9 9FX,ACTIVE,RO76
E86030,BRUNEL MEDICAL CENTRE,UB8 3PH,ACTIVE,RO76
E85624,"DR UPPAL & PARTN, PARKVIEW CTR FOR H&W",W12 7FG,ACTIVE,RO76
E85113,REDWOOD PRACTICE,TW3 2DY,ACTIVE,RO76
E84051,STANLEY CORNER MEDICAL CENTRE,HA0 4JF,ACTIVE,RO76
E87720,KENSINGTON PARK MEDICAL CENTRE,W14 8HW,ACTIVE,RO76
E85024,CARLTON SURGERY,TW14 0AX,ACTIVE,RO76
E85108,MANDEVILLE MEDICAL CENTRE,UB5 5HB,ACTIVE,RO76
E87003,NORTH KENSINGTON MEDICAL CENTRE,W10 6NX,ACTIVE,RO76
E84005,KINGS ROAD SURGERY,HA2 9JJ,ACTIVE,RO76
E87768,KINGS COLLEGE HEALTH CENTRE,WC2B 4PJ,ACTIVE,RO76
E85096,MEDICAL CENTRE,TW3 1NU,ACTIVE,RO76
E85057,QUEENS WALK PRACTICE,W5 1TP,ACTIVE,RO76
E85127,THE BARNABAS MEDICAL CTRE,UB5 4SQ,ACTIVE,RO76
E87753,BELGRAVE MEDICAL CENTRE,SW1W 8NA,ACTIVE,RO76
Y02842,HALF PENNY STEPS HEALTH CENTRE,W10 4RE,ACTIVE,RO76
E84007,UXENDON CRESCENT SURGERY,HA9 8NL,ACTIVE,RO76
E85053,THE MEDICAL CENTRE,UB5 4AT,ACTIVE,RO76
E85600,WILLOW PRACTICE,TW3 2DY,ACTIVE,RO76
E85126,GREEN PRACTICE,TW3 3LN,ACTIVE,RO76
E84601,KENTON BRIDGE MEDICAL CENTRE DR GOLDEN,HA3 0YX,ACTIVE,RO76
E85707,SKYWAYS MEDICAL CENTRE,TW5 9BJ,ACTIVE,RO76
E84685,SUDBURY SURGERY,HA0 3HG,ACTIVE,RO76
E84014,BACON LANE SURGERY,HA8 5AT,ACTIVE,RO76
E85035,MOUNT MEDICAL CENTRE,TW13 6AJ,ACTIVE,RO76
E85677,THE HORN LANE SURGERY,W3 6PH,ACTIVE,RO76
E84022,ROXBOURNE MEDICAL CENTRE,HA2 0UE,ACTIVE,RO76
E85745,JUBILEE GARDENS MEDICAL CENTRE,UB1 2TJ,ACTIVE,RO76
E85696,CLIFFORD ROAD SURGERY,TW4 7LR,ACTIVE,RO76
E84028,THE STONEBRIDGE PRACTICE,NW10 8RY,ACTIVE,RO76
E84076,OXGATE GARDENS SURGERY,NW2 6EA,ACTIVE,RO76
E87016,HOLLAND PARK SURGERY,W8 7RX,ACTIVE,RO76
E85060,KINGFISHER PRACTICE,TW3 2DY,ACTIVE,RO76
E85716,BATH ROAD SURGERY,TW3 3ET,ACTIVE,RO76
E85064,WEST END SURGERY,UB5 6QN,ACTIVE,RO76
E87061,THE PEMBRIDGE VILLAS SURGERY,W11 3EP,ACTIVE,RO76
Y02672,THE PRACTICE FELTHAM,TW13 4GU,ACTIVE,RO76
E85069,OLDFIELD FAMILY PRACTICE,UB6 8RA,ACTIVE,RO76
E85059,CHESTNUT PRACTICE,TW3 3LN,ACTIVE,RO76
E86033,ST MARTINS MEDICAL CENTRE,HA4 8BE,ACTIVE,RO76
E85061,WELCOME PRACTICE,UB2 4EY,ACTIVE,RO76
E87009,THE GARWAY MEDICAL PRACTICE,W2 6HF,ACTIVE,RO76
E85719,ASHVILLE SURGERY,SW6 4HS,ACTIVE,RO76
E85032,ASHCHURCH SURGERY,W12 9BP,ACTIVE,RO76
E86009,BELMONT MEDICAL CENTRE,UB8 1SD,ACTIVE,RO76
Y03441,"HEALTH AND WELLBEING CENTRE, EARLS COURT",SW5 0PT,ACTIVE,RO76
E85119,THE MWH PRACTICE,UB1 1LA,ACTIVE,RO76
E85049,BELMONT MEDICAL CENTRE,UB2 5DU,ACTIVE,RO76
E85054,HILLVIEW SURGERY,UB6 7HQ,ACTIVE,RO76
E85697,GREENBROOK BEDFONT,TW14 8AG,ACTIVE,RO76
E85735,BRENTFORD FAMILY PRACTICE,TW8 8DS,ACTIVE,RO76
E85114,CROSSLANDS SURGERY,UB2 5QY,ACTIVE,RO76
E85048,"DR CANISIUS & DR HASAN, PARKVIEW CFH&W",W12 7FG,ACTIVE,RO76
E85099,THE AVENUE SURGERY,W13 8LA,ACTIVE,RO76
E87037,CONNAUGHT SQUARE PRACTICE,W2 2HL,ACTIVE,RO76
E86618,CAREPOINT PRACTICE,HA6 1TQ,ACTIVE,RO76
E85014,NORTHFIELDS SURGERY,W13 9QP,ACTIVE,RO76
E84020,JAI MEDICAL CENTRE (BRENT),HA8 5LP,ACTIVE,RO76
E87052,CROMPTON MEDICAL CENTRE,W2 1ND,ACTIVE,RO76
E85058,BLUE WING FAMILY DOCTOR UNIT,TW3 3LN,ACTIVE,RO76
E85628,ELTHORNE PARK SURGERY,W7 2JJ,ACTIVE,RO76
E86020,YEADING COURT SURGERY,UB4 9AJ,ACTIVE,RO76
E84645,PARK ROYAL MEDICAL PRACTICE,NW10 7NS,ACTIVE,RO76
E86016,THE PINE MEDICAL CENTRE,UB4 8RB,ACTIVE,RO76
E87706,THE FORELAND MEDICAL CENTRE,W11 4EP,ACTIVE,RO76
E87738,KNIGHTSBRIDGE MEDICAL CENTRE,SW1X 0ET,ACTIVE,RO76
Y00902,THE WESTBOURNE GREEN SURGERY,W2 5ES,ACTIVE,RO76
E85663,THE SALUJA CLINIC,UB1 2AY,ACTIVE,RO76
E85680,CLOISTER ROAD SURGERY,W3 0DF,ACTIVE,RO76
E84042,KILBURN PARK MEDICAL CENTRE,NW6 5HB,ACTIVE,RO76
E86019,THE WARREN PRACTICE,UB4 0SG,ACTIVE,RO76
E86632,ACORN MEDICAL CENTRE,UB10 9JN,ACTIVE,RO76
E85116,THE CUCKOO LANE PRACTICE,W7 1DR,ACTIVE,RO76
E85042,THE NEW SURGERY,W12 9RD,ACTIVE,RO76
E85685,THE LILYVILLE SURGERY,SW6 4UL,ACTIVE,RO76
Y02906,CANBERRA OLD OAK SURGERY,W12 7FG,ACTIVE,RO76
E84665,NEASDEN MEDICAL CENTRE,NW2 7SA,ACTIVE,RO76
E85121,GURU NANAK MEDICAL CENTRE,UB1 1EQ,ACTIVE,RO76
E85125,STERNDALE SURGERY,W14 0LJ,ACTIVE,RO76
E87701,THE ABINGDON HEALTH CENTRE,W8 6EG,ACTIVE,RO76
E86006,THE DEVONSHIRE LODGE PRACTICE,HA5 1TG,ACTIVE,RO76
E85715,BROADMEAD SURGERY,UB5 6WL,ACTIVE,RO76
E86005,THE OAKLAND MEDICAL CENTRE,UB10 9JX,ACTIVE,RO76
E84080,STAVERTON SURGERY,NW2 5HA,ACTIVE,RO76
E84066,GP PATHFINDER CLINICS,HA9 6PW,ACTIVE,RO76
E85025,CASSIDY ROAD MEDICAL CENTRE,SW6 5PX,ACTIVE,RO76
E86036,HILLINGDON HEALTH CENTRE,UB10 9QF,ACTIVE,RO76
E85736,LITTLE PARK SURGERY,TW13 5JG,ACTIVE,RO76
E84702,WILLESDEN GREEN SURGERY,NW2 3UY,ACTIVE,RO76
E87762,THE GOOD PRACTICE,SW10 0LR,ACTIVE,RO76
Y00206,BURNLEY PRACTICE,NW10 3RY,ACTIVE,RO76
E86017,HAYES MEDICAL CENTRE,UB3 4NA,ACTIVE,RO76
E85030,CHISWICK HEALTH PRACTICE,W4 1RX,ACTIVE,RO76
E84709,WEMBLEY PARK MEDICAL CENTRE,HA9 0GL,ACTIVE,RO76
Y02589,HAMMERSMITH & FULHAM CENTRES FOR HEALTH,W12 0HS,ACTIVE,RO76
E87681,NEWTON MEDICAL CENTRE,W2 5LT,ACTIVE,RO76
E85118,THE FULHAM MEDICAL CENTRE,SW6 1BG,ACTIVE,RO76
E87046,THE RANDOLPH SURGERY,W9 1NH,ACTIVE,RO76
E84004,THE CIRCLE PRACTICE,HA3 7LT,ACTIVE,RO76
E85050,GREENFORD ROAD MED.CTR.,UB6 8QH,ACTIVE,RO76
E85051,GREENFORD AVENUE FHP,W7 3AH,ACTIVE,RO76
E85028,HILLCREST SURGERY,W3 9LA,ACTIVE,RO76
Y02671,THE PRACTICE HEART OF HOUNSLOW,TW3 3LN,ACTIVE,RO76
E84039,HONEYPOT MEDICAL CENTRE,HA7 1JP,ACTIVE,RO76
E85120,THE ARGYLE SURGERY,W13 8ER,ACTIVE,RO76
E85712,GOODCARE PRACTICE,UB5 6WL,ACTIVE,RO76
E87066,FITZROVIA MEDICAL CENTRE,W1T 6EU,ACTIVE,RO76
E87063,KINGS ROAD MEDICAL CENTRE,SW10 0UD,ACTIVE,RO76
E84013,CHURCH END MEDICAL CENTRE,NW10 9HP,ACTIVE,RO76
E87733,THE EXMOOR SURGERY,W10 6DZ,ACTIVE,RO76
E85088,ELMBANK SURGERY,W7 3DD,ACTIVE,RO76
E85004,ALBANY PRACTICE,TW8 8DS,ACTIVE,RO76
E84074,FREUCHEN MEDICAL CENTRE,NW10 4ST,ACTIVE,RO76
E85012,KS MEDICAL CENTRE,UB1 3HY,ACTIVE,RO76
E87029,PORTLAND ROAD PRACTICE,W11 4LA,ACTIVE,RO76
E84008,SIMPSON HOUSE MEDICAL CENTRE,HA2 8RS,ACTIVE,RO76
E85681,JERSEY PRACTICE,TW5 9ER,ACTIVE,RO76
E86026,PARKVIEW SURGERY,UB8 3LA,ACTIVE,RO76
E85056,ST DAVIDS PRACTICE,TW13 4GU,ACTIVE,RO76
E87038,ELGIN CLINIC,W9 3QT,ACTIVE,RO76
E86028,EASTBURY SURGERY,HA6 3BG,ACTIVE,RO76
E87024,THE GOLBORNE MEDICAL CENTRE,W10 5PG,ACTIVE,RO76
E85008,NORTH FULHAM SURGERY,SW6 1TN,ACTIVE,RO76
E85034,GROSVENOR HOUSE SURGERY,W13 9BE,ACTIVE,RO76
E85657,EALING PARK HEALTH CENTRE,W5 4RH,ACTIVE,RO76
Y04225,EALING COMMUNITY PRT - CARE HOME SERVICE,UB2 4SD,ACTIVE,RO76
E84069,BELMONT HEALTH CENTRE,HA3 7LT,ACTIVE,RO76
E87004,HEALTH PARTNERS AT VIOLET MELCHETT,SW3 5RR,ACTIVE,RO76
E85605,BRENTFORD GROUP PRACTICE,TW8 8DS,ACTIVE,RO76
E85693,CHISWICK MEDICAL PRACTICE,W4 3ET,ACTIVE,RO76
E87013,STANHOPE MEWS SURGERY,SW7 5RB,ACTIVE,RO76
E85001,THORNBURY ROAD CENTRE FOR HEALTH,TW7 4HQ,ACTIVE,RO76
E86012,WOOD LANE MEDICAL CENTRE,HA4 6ER,ACTIVE,RO76
E84061,ELLIOTT HALL MEDICAL CTR.,HA5 4EA,ACTIVE,RO76
E86042,THE HIGH STREET PRACTICE,UB7 7DP,ACTIVE,RO76
E84044,THE NORTHWICK SURGERY,HA1 2NU,ACTIVE,RO76
E84693,ST. PETER'S MEDICAL CENTRE,HA1 4BS,ACTIVE,RO76
E86027,OTTERFIELD MEDICAL CENTRE,UB7 8PE,ACTIVE,RO76
E87045,COVENT GARDEN MEDICAL CENTRE,WC2H 9AA,ACTIVE,RO76
E84031,BRENTFIELD MEDICAL CENTRE,NW10 8TF,ACTIVE,RO76
E85040,WEST4 GPS,W4 1RX,ACTIVE,RO76
E85744,ARGYLE HEALTH-ISLEWORTH PRACTICE,TW7 7DJ,ACTIVE,RO76
E85739,HMC HEALTH HESTON GREAT WEST,TW5 9ER,ACTIVE,RO76
E85019,CROWN STREET SURGERY,W3 8SA,ACTIVE,RO76
Y01011,BARLBY SURGERY,W10 6DZ,ACTIVE,RO76
E84015,WILLOW TREE FAMILY DOCTORS,NW9 9AD,ACTIVE,RO76
E85107,THE MILL HILL SURGERY,W3 8QH,ACTIVE,RO76
E86001,MOUNTWOOD SURGERY,HA6 2RG,ACTIVE,RO76
E87609,ST JOHNS WOOD MEDICAL PRACTICE,NW8 9NH,ACTIVE,RO76
E84036,GLADSTONE MEDICAL CENTRE,NW2 6JH,ACTIVE,RO76
E85033,HAMMERSMITH SURGERY,W6 9DU,ACTIVE,RO76
E84012,MAPESBURY MEDICAL GROUP,NW2 3PS,ACTIVE,RO76
E84032,ELLIS PRACTICE,HA9 9FX,ACTIVE,RO76
E84021,THE WILLESDEN MEDICAL CENTRE,NW10 2PT,ACTIVE,RO76
E87011,LISSON GROVE HEALTH CENTRE,NW8 8EG,ACTIVE,RO76
E85016,RICHFORD GATE MEDICAL CENTRE,W6 7HY,ACTIVE,RO76
E86004,THE MEDICAL CENTRE,UB7 7PJ,ACTIVE,RO76
E85699,GROVE VILLAGE MEDICAL CENTRE,TW14 8SN,ACTIVE,RO76
E87740,THE DR HICKEY SURGERY FOR THE HOMELESS,SW1P 2BG,ACTIVE,RO76
E86018,TOWNFIELD DOCTORS SURGERY,UB3 3DZ,ACTIVE,RO76
Y00352,HESA MEDICAL CENTRE - Y00352,UB3 4DS,ACTIVE,RO76
E84025,THE LONSDALE MEDICAL CENTRE,NW6 6RR,ACTIVE,RO76
E87008,PADDINGTON GREEN HEALTH CENTRE,W2 1LQ,ACTIVE,RO76
E86029,CEDAR BROOK PRACTICE,UB4 8DD,ACTIVE,RO76
E87739,MILLBANK MEDICAL CENTRE,SW1P 4EN,ACTIVE,RO76
E85636,PARK MEDICAL CENTRE,W6 0QG,ACTIVE,RO76
E84006,THE LAW MEDICAL GROUP PRACTICE,NW10 5UY,ACTIVE,RO76
E84024,THE PINN MEDICAL CENTRE,HA5 3EE,ACTIVE,RO76
E84057,THE STANMORE MEDICAL CENTRE,HA7 1HS,ACTIVE,RO76
E85128,SANDS END HEALTH CLINIC,SW6 2FE,ACTIVE,RO76
E84068,THE RIDGEWAY SURGERY,HA2 7DU,ACTIVE,RO76
E86007,HAREFIELD PRACTICE,UB9 6JY,ACTIVE,RO76
E85122,THE FLORENCE ROAD SURGERY,W5 3TX,ACTIVE,RO76
E85026,GORDON HOUSE SURGERY,W13 9NZ,ACTIVE,RO76
E86010,YIEWSLEY FAMILY PRACTICE,UB7 7DP,ACTIVE,RO76
E87067,COLVILLE HEALTH CENTRE,W11 1PA,ACTIVE,RO76
E85007,ST. MARGARETS PRACTICE,TW1 1NE,ACTIVE,RO76
E85020,BROOK GREEN MEDICAL CENTRE,W6 7EG,ACTIVE,RO76
E84009,ENDERLEY ROAD MEDICAL CENTRE,HA3 5HF,ACTIVE,RO76
E85055,THE BUSH DOCTORS,W12 8PP,ACTIVE,RO76
E84058,GP DIRECT,HA2 0RQ,ACTIVE,RO76
E87637,GRAND UNION HEALTH CENTRE,W2 5EH,ACTIVE,RO76
E85003,NORTH END MEDICAL CENTRE,W14 9PR,ACTIVE,RO76
E87034,PIMLICO HEALTH AT THE MARVEN SURGERY,SW1V 3EB,ACTIVE,RO76
E87002,VICTORIA MEDICAL CENTRE,SW1V 1SN,ACTIVE,RO76
E86015,CENTRAL UXBRIDGE SURGERY,UB8 1UB,ACTIVE,RO76
E85029,"THE MEDICAL CENTRE, DR JEFFERIES & PARTN",SW6 6BQ,ACTIVE,RO76
E85124,GP AT HAND,SW6 7SX,ACTIVE,RO76
